;;9044N;PD Fel c/d Ckn 10kg bg;PD c/d корм д/кош урол. (с кур) 10кг;9 302,12
;;9184U;PD Fel c/d OF 6x1.5kg cs;PD c/d корм д/кош урол. (с рыб) 6/1,5кг;1 663,38
;;3148W;PD Fel c/d Mul Strs 6x400g cs;PD c/d корм д/кош при стрессе 6/400г;556,23
;;2842U;PD Fel c/d Mul Strs 6x1.5kg cs;PD c/d корм д/кош при стрессе 6/1,5кг;1 655,43
;;604445;PD Fel GIBio 6x1.5kg cs;PD Biome корм д/кош ЖКТ-Биом 6/1,5кг;2 247,08
;;604456;PD Fel GIBio 5kg bg;PD Biome корм д/кош ЖКТ-Биом 5кг;7 099,86
;;5483W;PD Fel i/d 6x400g cs;PD i/d корм д/кош д/пищ. тракта 6/400г;590,45
;;9188U;PD Fel i/d 6x1.5kg cs;PD i/d корм д/кош д/пищ. тракта 6/1,5кг;1 909,93
;;4663R;PD Fel i/d 5kg bg;PD i/d корм д/кош д/пищ. тракта 5кг;6 037,05
;;6135U;PD Fel j/d 6x2kg cs;PD j/d корм д/кош д/сустав 6/2кг;2 545,20
;;5484W;PD Fel k/d 6x400g cs;PD k/d корм д/кош д/почек 6/400г;548,52
;;11141Y;PD Fel k/d Tna 6x400g cs;PD k/d корм д/кош д/почек (тун) 6/400г;548,52
;;9186U;PD Fel k/d 6x1.5kg cs;PD k/d корм д/кош д/почек 6/1,5кг;1 856,42
;;11142U;PD Fel k/d Tna 6x1.5kg cs;PD k/d корм д/кош д/почек (тун) 6/1,5кг;1 856,42
;;4308R;PD Fel k/d 5kg bg;PD k/d корм д/кош д/почек 5кг;5 000,27
;;10748U;PD Fel k/d+mob 6x2kg cs;PD k/d+Mob корм д/кош поч+суставы 6/2кг;2 571,23
;;8695U;PD Fel l/d 6x1.5kg cs;PD l/d корм д/кош д/печени 6/1,5кг;2 026,81
;;8685U;PD Fel m/d 6x1.5kg cs;PD m/d корм д/кош при диабете 6/1,5кг;2 062,48
;;9189U;PD Fel s/d 6x1.5kg cs;PD s/d корм д/кош д/раств струв 6/1,5кг;1 720,26
;;4322R;PD Fel s/d 5kg bg;PD s/d корм д/кош д/раств струв 5кг;5 036,42
;;8688U;PD Fel t/d 6x1.5kg cs;PD t/d корм д/кош д/зубов 6/1,5кг;1 543,12
;;9191U;PD Fel w/d 6x1.5kg cs;PD w/d корм д/кош поддерж. веса 6/1,5кг;1 993,31
;;4328R;PD Fel w/d 5kg bg;PD w/d корм д/кош поддерж. веса 5кг;4 721,19
;;1680U;PD Fel y/d 6x1.5kg cs;PD y/d корм д/кош гипертиреоз 6/1,5кг;3 252,54
;;4565U;PD Fel z/d LA 6x2kg cs;PD z/d Low All. корм д/кош аллерг 6/2кг;2 584,73
;;;;;
;Hill's Science Plan Canine - сухой повседневный корм для собак;;;;
;;604229;SP Pup Sm&Min Ckn 6x300g cs;SP корм д/щен декор (кур) 6/300г;224,13
;;604731;SP Pup Sm&Min Ckn 6x1.5kg cs;SP корм д/щен декор (кур) 6/1,5кг;970,75
;;5220X;SP Pup HD Mini Ckn 4x1kg cs;SP корм д/щен мини (кур) 4/1кг;575,87
;;604345;SP Pup Sm&Min Ckn 4x3kg cs;SP корм д/щен декор (кур) 4/3кг;1 770,63
;;605527;SP Pup Sm&Min Ckn 6kg BreB;SP корм д/щен декор (кур) 6кг питом;2 709,80
;;604266;SP Pup Md Ckn 4x800g cs;SP корм д/щен (кур) 4/800г;462,00
;;604268;SP Pup Md Ckn 12kg bg;SP корм д/щен (кур) 12кг;5 473,11
;;604269;SP Pup Md L&R 4x800g cs;SP корм д/щен (ягн) 4/800г;522,73
;;604605;SP Pup Md L&R 4x2.5kg cs;SP корм д/щен (ягн) 4/2,5кг;1 391,41
;;604271;SP Pup Md L&R 12kg bg;SP корм д/щен (ягн) 12кг;6 300,22
;;604304;SP Pup LB Ckn 4x2.5kg cs;SP корм д/щен кр/пор (кур) 4/2,5кг;1 261,64
;;604305;SP Pup LB Ckn 12kg bg;SP корм д/щен кр/пор (кур) 12кг;5 465,88
;;604231;SP Ca Adt Sm&Min Ckn 6x300g cs;SP корм д/взр соб декор (кур) 6/300г;227,99
;;604734;SP Ca Adt Sm&Min Ckn 6x1.5kg cs;SP корм д/взр соб декор (кур) 6/1,5кг;916,04
;;604735;SP Ca Adt Sm&Min Ckn 4x3kg cs;SP корм д/взр соб декор (кур) 4/3кг;1 722,55
;;604233;SP Ca Adt Sm&Min Ckn 6kg bg;SP корм д/взр соб декор (кур) 6кг;3 275,19
;;604234;SP Ca Adt Sm&Min L&R 6x300g cs;SP корм д/взр соб декор (ягн) 6/300г;233,53
;;604732;SP Ca Adt Sm&Min L&R 6x1.5kg cs;SP корм д/взр соб декор (ягн) 6/1,5кг;954,84
;;604319;SP Ca Adt Sm&Min L&R 6kg bg;SP корм д/взр соб декор (ягн) 6кг;3 486,31
;;604274;SP Ca Adt Md Ckn 4x2.5kg cs;SP корм д/взр соб (кур) 4/2,5кг;1 358,16
;;604275;SP Ca Adt Md Ckn 12kg bg;SP корм д/взр соб (кур) 12кг;5 539,63
;;604279;SP Ca Adt Md Tna&R 4x2.5kg cs;SP корм д/взр соб (тун/рис) 4/2,5кг;1 358,16
;;604280;SP Ca Adt Md Tna&R 12kg bg;SP корм д/взр соб (тун/рис) 12кг;5 539,63
;;604712;SP Ca Adt Md L&R 4x2.5kg cs;SP корм д/взр соб (ягн) 4/2,5кг;1 493,36
;;604277;SP Ca Adt Md L&R 12kg bg;SP корм д/взр соб (ягн) 12кг;5 841,84
;;604306;SP Ca Adt LB Ckn 4x2.5kg cs;SP корм д/взр соб кр/пор (кур) 4/2,5кг;1 358,16
;;604307;SP Ca Adt LB Ckn 12kg bg;SP корм д/взр соб кр/пор (кур) 12кг;5 539,63
;;604310;SP Ca Adt LB L&R 12kg bg;SP корм д/взр соб кр/пор (ягн) 12кг;5 841,84
;;604388;SP Ca MA Sm&Min Ckn 6x300g cs;SP корм д/пож соб 7+ декор (кур) 6/300г;229,19
;;604237;SP Ca MA Sm&Min Ckn 6x1.5kg cs;SP корм д/пож соб 7+ декор (кур) 6/1,5кг;945,20
;;604286;SP Ca MA Md Ckn 12kg bg;SP корм д/пож соб 7+ (кур) 12кг;5 977,76
;;604287;SP Ca MA Md L&R 4x2.5kg cs;SP корм д/пож соб 7+ (ягн) 4/2,5кг;1 485,77
;;604288;SP Ca MA Md L&R 12kg bg;SP корм д/пож соб 7+ (ягн) 12кг;6 394,21
;;604313;SP Ca MA LB Ckn 12kg bg;SP корм д/пож соб кр/пор 6+ (кур) 12кг;5 902,57
;;604260;SP Ca A7+ YV Sm&Min Ckn 6x250g cs;SP корм д/пож соб юн декор 7+ 6/250г;222,44
;;604261;SP Ca A7+ YV Sm&Min Ckn 6x1.5kg cs;SP корм д/пож соб юн декор 7+ 6/1,5кг;1 023,77
;;604329;SP Ca A7+ YV Md Ckn 4x800g cs;SP корм д/пож соб юность 7+ 4/800г;573,70
;;604327;SP Ca A7+ YV Md Ckn 12kg bg;SP корм д/пож соб юность 7+ 12кг;6 242,38
;;605265;SP Ca MA SrVit Sm&Min Ckn 6x250g cs;SP корм д/пож соб 7+ SrVit декор 6/250г;222,44
;;605266;SP Ca MA SrVit Sm&Min Ckn 6x1.5kg cs;SP корм д/пож соб 7+ SrVit декор 6/1,5кг;1 028,83
;;605271;SP Ca MA SrVit Md Ckn 4x800g cs;SP корм д/пож соб 7+ SrVit (кур) 4/800г;590,69
;;605273;SP Ca MA SrVit Md Ckn 12kg bg;SP корм д/пож соб 7+ SrVit (кур) 12кг;6 242,38
;;604236;SP Ca Adt Lt Sm&Min Ckn 6x1.5kg cs;SP корм д/взр соб декор н/калор 6/1,5кг;1 028,83
;;604297;SP Ca Adt PerWgt Md Ckn 12kg bg;SP корм д/взр соб идеал. вес 12кг;6 952,37
;;604733;SP Ca Adt SenSt&Sk Sm&MinCkn 6x1.5kg cs;SP корм д/взр соб декор деликат 6/1,5кг;1 023,77
;;604342;SP Ca Adt SenSt&Sk Sm&Min Ckn 4x3kg cs;SP корм д/взр соб декор деликат 4/3кг;1 923,90
;;604301;SP Ca Adt SenSt&Sk Md Ckn 12kg bg;SP корм д/соб деликат 12кг;6 290,10
;;604298;SP Ca Adt Perf 12kg bg;SP корм д/активных собак 12кг;5 909,80
;;;;;
;Hill's Science Plan Feline - сухой повседневный корм для кошек;;;;
;;604046;SP Ktn Ckn 6x300g cs;SP корм д/котят (кур) 6/300г;251,85
;;604714;SP Ktn Ckn 6x1.5kg cs;SP корм д/котят (кур) 6/1,5кг;1 227,65
;;604049;SP Ktn Ckn 4x3kg cs;SP корм д/котят (кур) 4/3кг;2 214,91
;;604050;SP Ktn Ckn 7kg bg;SP корм д/котят (кур) 7кг;4 828,19
;;604713;SP Ktn Tna 6x300g cs;SP корм д/котят (тун) 6/300г;251,85
;;604715;SP Ktn Tna 6x1.5kg cs;SP корм д/котят (тун) 6/1,5кг;1 227,65
;;604173;SP Ktn Tna 7kg bg;SP корм д/котят (тун) 7кг;4 828,19
;;604716;SP Fel Adt Ckn 6x300g cs;SP корм д/взр кош (кур) 6/300г;284,86
;;604718;SP Fel Adt Ckn 6x1.5kg cs;SP корм д/взр кош (кур) 6/1,5кг;1 212,95
;;604058;SP Fel Adt Ckn 4x3kg cs;SP корм д/взр кош (кур) 4/3кг;2 292,63
;;604174;SP Fel Adt Ckn 10kg bg;SP корм д/взр кош (кур) 10кг;6 995,75
;;604063;SP Fel Adt Ckn 15kg bg;SP корм д/взр кош (кур) 15кг;10 010,66
;;604599;SP Fel Adt Duck 6x300g cs;SP корм д/взр кош (утк) 6/300г;284,86
;;604637;SP Fel Adt Duck 6x1.5kg cs;SP корм д/взр кош (утк) 6/1,5кг;1 212,95
;;604710;SP Fel Adt Duck 4x3kg cs;SP корм д/взр кош (утк) 4/3кг;2 291,19
;;604861;SP Fel Adt Duck 10kg bg;SP корм д/взр кош (утк) 10кг;6 995,75
;;604717;SP Fel Adt Tna 6x300g cs;SP корм д/взр кош (тун) 6/300г;284,86
;;604720;SP Fel Adt Tna 6x1.5kg cs;SP корм д/взр кош (тун) 6/1,5кг;1 212,95
;;604075;SP Fel Adt Tna 4x3kg cs;SP корм д/взр кош (тун) 4/3кг;2 292,27
;;604176;SP Fel Adt Tna 10kg bg;SP корм д/взр кош (тун) 10кг;6 995,75
;;604065;SP Fel Adt Lmb 6x300g cs;SP корм д/взр кош (ягн) 6/300г;284,86
;;604719;SP Fel Adt Lmb 6x1.5kg cs;SP корм д/взр кош (ягн) 6/1,5кг;1 212,95
;;604067;SP Fel Adt Lmb 4x3kg cs;SP корм д/взр кош (ягн) 4/3кг;2 291,55
;;604175;SP Fel Adt OptC Lmb 10kg bg;SP корм д/взр кош (с ягн) 10кг;6 995,75
;;604096;SP Fel MA7+ Ckn 6x300g cs;SP корм д/пож кош 7+ (кур) 6/300г;299,80
;;604097;SP Fel MA Ckn 6x1.5kg cs;SP корм д/пож кош 7+ (кур) 6/1,5кг;1 402,14
;;605262;SP Fel MA SrVit Ckn w/R 6x300g cs;SP корм д/пож кош 7+ SrVit (кур) 6/300г;336,68
;;605263;SP Fel MA SrVit Ckn w/R 6x1.5kg cs;SP корм д/пож кош 7+ SrVit (кур) 6/1,5кг;1 469,14
;;604101;SP Fel MA Tna 6x1.5kg cs;SP корм д/пож кош 7+ (тун) 6/1,5кг;1 402,14
;;604062;SP Fel A7+ YV Ckn w/R 6x1.5kg cs;SP корм д/пож кош юность (кур) 6/1,5кг;1 441,18
;;604068;SP Fel A7+ YV Ckn w/R 6x300g cs;SP корм д/пож кош юность (кур) 6/300г;330,17
;;604085;SP Fel Adt PerWgt Ckn 6x1.5kg cs;SP корм д/взр кош идеал. вес 6/1,5кг;1 462,15
;;604142;SP Fel Adt Oral Ckn 6x1.5kg cs;SP корм д/кош д/зубов 6/1,5кг;1 462,15
;;604074;SP Fel Adt SenSt&Sk Ckn 6x300g cs;SP корм д/кош деликат 6/300г;353,31
;;604721;SP Fel Adt SenSt&Sk Ckn 6x1.5kg cs;SP корм д/кош деликат 6/1,5кг;1 462,15
;;604069;SP Fel Adt SenSt&Sk Ckn 7kg bg;SP корм д/кош деликат 7кг;6 572,07
;;604112;SP Fel Adt HB&Indoor Ckn 6x300g cs;SP корм д/дом кош (+шерсть) 6/300г;353,31
;;604722;SP Fel Adt HB&Indoor Ckn 6x1.5kg cs;SP корм д/дом кош (+шерсть) 6/1,5кг;1 462,15
;;604184;SP Fel Adt HB&Indoor Ckn 10kg bg;SP корм д/дом кош (+шерсть) 10кг;8 690,46
;;604490;SP Fel MA HB&Indoor Ckn 6x1.5kg cs;SP корм д/дом кош 7+ (+шерсть) 6/1,5кг;1 462,15
;;604723;SP Fel YA SteC Ckn 6x300g cs;SP корм д/стер кош <7 лет (кур) 6/300г;276,19
;;604725;SP Fel YA SteC Ckn 6x1.5kg cs;SP корм д/стер кош <7 лет (кур) 6/1,5кг;1 212,95
;;604726;SP Fel YA SteC Ckn 4x3kg;SP корм д/стер кош <7 лет (кур) 4/3кг;2 299,50
;;604180;SP Fel YA SteC Ckn 10kg bg;SP корм д/стер кош <7 лет (кур) 10кг;7 015,99
;;604724;SP Fel YA SteC Tna 6x300g cs;SP корм д/стер кош <7 лет (тун) 6/300г;276,19
;;604727;SP Fel YA SteC Tna 6x1.5kg cs;SP корм д/стер кош <7 лет (тун) 6/1,5кг;1 212,95
;;604129;SP Fel YA SteC Tna 4x3kg cs;SP корм д/стер кош <7 лет (тун) 4/3кг;2 299,50
;;604181;SP Fel YA SteC Tna 10kg bg;SP корм д/стер кош <7 лет (тун) 10кг;7 015,99
;;605251;SP Fel YA SteC Duck 6x300g cs;SP корм д/стер кош <7 лет (утк) 6/300г;276,19
;;605252;SP Fel YA SteC Duck 6x1.5kg cs;SP корм д/стер кош <7 лет (утк) 6/1,5кг;1 212,95
;;605253;SP Fel YA SteC Duck 4x3kg cs;SP корм д/стер кош <7 лет (утк) 4/3кг;2 299,50
;;605255;SP Fel YA SteC Duck 10kg bg;SP корм д/стер кош <7 лет (утк) 10кг;7 015,99
;;604110;SP Fel MA7+ SteC Ckn 6x300g cs;SP корм д/стер пож кош 7+ (кур) 6/300г;281,97
;;604728;SP Fel MA SteC Ckn 6x1.5kg cs;SP корм д/стер пож кош 7+ (кур) 6/1,5кг;1 250,31
;;604134;SP Fel MA SteC Ckn 4x3kg cs;SP корм д/стер пож кош 7+ (кур) 4/3кг;2 436,87
;;604135;SP Fel Adt UriHlth Ckn 6x300g cs;SP корм д/кош урол+стер (кур) 6/300г;309,44
;;604136;SP Fel Adt UriHlth Ckn 6x1.5kg cs;SP корм д/кош урол+стер (кур) 6/1,5кг;1 291,52
;;604138;SP Fel Adt UriHlth Ckn 7kg bg;SP корм д/кош урол+стер (кур) 7кг;5 584,45
;;;;;
;;;;;
;Hill's Nature's Best Feline - сухой повседневный корм для кошек;;;;
;;5266DR;NB Fel Adt Ckn 6x300g cs;NB корм д/взр кош (с кур) 6/300г;306,79
;;4195DR;NB Fel Adt Ckn 6x2kg cs;NB корм д/взр кош (с кур) 6/2кг;1 867,03
;;5268DR;NB Fel Adt Tna 6x300g cs;NB корм д/взр кош (с тун) 6/300г;306,79
;;4199DR;NB Fel Adt Tna 6x2kg cs;NB корм д/взр кош (с тун) 6/2кг;1 867,03
;;;;;
;Hill's Ideal Balance Feline - сухой повседневный корм для кошек;;;;
;;10722Y;IB Fel Adt NoG Ckn&Pot 6x300g cs;IB корм д/взр кош б/з (кур/карт) 6/300г;306,79
;;603577;IB Fel Adt NoG Ckn&Pot 6x1.5kg cs;IB корм д/взр кош б/з (кур/карт) 6/1,5кг;1 393,70
;;603579;IB Fel Adt NoG Tna&Pot 6x1.5kg cs;IB корм д/взр кош б/з (тун/карт) 6/1,5кг;1 393,70
;;;;;
;Breeder Bags Canine - сухой повседневный корм для собак в расфасовке для питомников;;;;
;;604856;SP Pup Sm&Min Ckn 4x3kg BreB;SP корм д/щен декор (кур) 4/3кг питом;1 569,27
;;604336;SP Pup Md Ckn 18kg BreB;SP корм д/щен (кур) 18кг - питом;6 110,80
;;604273;SP Pup Md L&R 18kg BreB;SP корм д/щен (ягн) 18кг - питом;7 162,04
;;604366;SP Pup LB Ckn 14.5kg BreB;SP корм д/щен кр/пор (кур) 14,5кг питом;5 111,61
;;604857;SP Ca Adt Sm&Min L&R 6kg BreB;SP корм д/взр соб декор (ягн) 6кг питом;3 185,54
;;604356;SP Ca Adt Md Ckn 14kg BreB;SP корм д/взр соб (кур) 14кг - питом;5 120,29
;;604278;SP Ca Adt Md L&R 18kg BreB;SP корм д/взр соб (ягн) 18кг - питом;6 664,61
;;604309;SP Ca Adt LB Ckn 18kg BreB;SP корм д/взр соб кр/пор(кур) 18кг питом;5 613,37
;;604859;SP Ca Adt LB L&R 14kg BreB;SP корм д/взр соб кр/пор(ягн) 14кг питом;5 350,20
;;;;;
;Breeder Bags Feline - сухой повседневный корм для кошек в расфасовке для питомников;;;;
;;604858;SP Ktn Ckn 7kg BreB;SP корм д/котят (кур) 7кг питом;4 093,63
;;604059;SP Fel Adt Ckn 10kg BreB;SP корм д/взр кош (кур) 10кг - питом;5 616,26
;;604860;SP Fel Adt Lmb 10kg BreB;SP корм д/взр кош (ягн) 10кг питом;5 616,26
;;;;;
;Hill's Prescription Diet Сanine/Feline (cans) - консервированный диетический корм для собак и кошек;;;;
;;5670F;PD Ca/Fel a/d 24x156g cs;PD a/d корм д/соб/кош восстанов. 24/156г;133,69
;;;;;
;Hill's Prescription Diet Сanine (cans) - консервированный диетический корм для собак;;;;
;;2101U;PD Ca Meta 12x370g cs;PD Meta корм д/соб коррек. веса 12/370г;259,80
;;8003U;PD Ca d/d Duck 12x370g cs;PD d/d корм д/соб аллерг (утк) 12/370г;254,50
;;8004U;PD Ca d/d Sal 12x370g cs;PD d/d корм д/соб аллерг (лос) 12/370г;254,50
;;8408T;PD Ca i/d 12x360g cs;PD i/d корм д/соб д/пищ. тракта 12/360г;269,80
;;1811U;PD Ca i/d LF 12x360g cs;PD i/d корм д/соб д/ЖКТ н/калор 12/360г;269,80
;;8010T;PD Ca k/d 12x370g cs;PD k/d корм д/соб д/почек 12/370г;250,52
;;8011U;PD Ca l/d 12x370g cs;PD l/d корм д/соб д/печени 12/370г;250,52
;;8015U;PD Ca s/d 12x370g cs;PD s/d корм д/соб д/раств струв 12/370г;262,09
;;8017U;PD Ca w/d 12x370g cs;PD w/d корм д/соб при диабете 12/370г;248,95
;;8018T;PD Ca z/d 12x370g cs;PD z/d Ultra корм д/соб аллерг 12/370г;279,80
;;;;;
;Hill's Prescription Diet Feline (cans) - консервированный диетический корм для кошек;;;;
;;2102F;PD Fel Meta 24x156g cs;PD Meta корм д/кош коррек. веса 24/156г;140,20
;;9451F;PD Fel c/d Mnc Ckn 24x156g cs;PD c/d корм д/кош урол. (с кур) 24/156г;119,60
;;4628F;PD Fel i/d 24x156g cs;PD i/d корм д/кош д/пищ. тракта 24/156г;125,56
;;9453F;PD Fel k/d Mnc Ckn 24x156g cs;PD k/d корм д/кош д/почек 24/156г;127,43
;;4281F;PD Fel m/d 24x156g cs;PD m/d корм д/кош при диабете 24/156г;151,11
;;4450FE;PD Fel s/d 24x156g cs;PD s/d корм д/кош д/раств струв 24/156г;127,43
;;9455F;PD Fel w/d Mnc Ckn 24x156g cs;PD w/d корм д/кош поддерж. веса 24/156г;143,88
;;5661F;PD Fel z/d 24x156g cs;PD z/d Ultra корм д/кош аллерг 24/156г;172,25
;;;;;
;Hill's Prescription Diet Сanine (cans) - консервированный диетический корм для собак (в форме рагу);;;;
;;603867;PD Ca i/d Ckn&VgStew 12x354g cs;PD i/d рагу д/соб д/ЖКТ кур 12/354г;281,97
;;603872;PD Ca i/d Strs Ckn&Vg Stew 24x156g cs;PD i/d рагу д/соб ЖКТ+стресс кур 24/156г;142,43
;;603869;PD Ca k/d Ckn&VgStew 12x354g cs;PD k/d рагу д/соб д/почек кур 12/354г;266,06
;;;;;
;Hill's Science Plan Canine (cans) - консервированный повседневный корм для собак;;;;
;;604220;SP Pup Ckn 12x370g cs;SP корм д/щен (кур) 12/370г;228,11
;;604221;SP Ca Adt Ckn 12x370g cs;SP корм д/соб (кур) 12/370г;216,90
;;8037U;SP Ca Adt Ckn 12x370g cs;SP корм д/соб (кур) 12/370г;216,90
;;604225;SP Ca MA Ckn 12x370g cs;SP корм д/пож соб 7+ (кур) 12/370г;216,90
;;8055U;SP Ca MA Ckn 12x370g cs;SP корм д/пож соб 7+ (кур) 12/370г;216,90
;;;;;
;Hill's Science Plan Feline (cans) - консервированный повседневный корм для кошек;;;;
;;604022;SP Ktn 1stNtr Msse Ckn&Tk 24x82g cs;SP корм д/котят (нежный мусс) 24/82г;76,76
;;603983;SP Fel Adt Ckn 24x82g cs;SP корм д/взр кош (с кур) 24/82г;85,43
;;603986;SP Fel Adt Sal 24x82g cs;SP корм д/взр кош (с лососем) 24/82г;85,43
;;603985;SP Fel MA Ckn 24x82g cs;SP корм д/пож кош 7+ (кур) 24/82г;86,70
;;;;;
;Hill's Prescription Diet Feline (pouches) - диетический корм для кошек (нежные кусочки в соусе);;;;
;;604115;PD Fel Meta+Uri Strs 4(12x85g) cs;PD Meta+ пауч д/кош вес+стресс 48/85г;89,32
;;3406LN;PD Fel c/d Ckn 4(12x85g) pou cs;PD c/d пауч д/кош урол. (с кур) 48/85г;85,01
;;3408LN;PD Fel c/d Sal 4(12x85g) pou cs;PD c/d пауч д/кош урол. (с лос) 48/85г;85,01
;;604124;PD Fel c/d Mul Strs Ckn 4(12x85g) pou cs;PD c/d пауч д/кош стресс (c кур) 48/85г;85,01
;;3407LN;PD Fel i/d Ckn 4(12x85g) pou cs;PD i/d пауч д/кош д/ЖКТ (кур) 48/85г;85,01
;;3409LN;PD Fel i/d Sal 4(12x85g) pou cs;PD i/d пауч д/кош д/ЖКТ (c лос) 48/85г;85,01
;;3405LN;PD Fel k/d Ckn 4(12x85g) pou cs;PD k/d пауч д/кош д/почек (с кур) 48/85г;79,44
;;3410LN;PD Fel k/d Sal 4(12x85g) pou cs;PD k/d пауч д/кош д/почек (с лос) 48/85г;79,44
;;3411LN;PD Fel k/d w/Bf 4(12x85g) pou cs;PD k/d пауч д/кош д/почек (с гов) 48/85г;79,44
;;;;;
;Hill's Prescription Diet Feline (cans) - диетический корм для кошек (в форме рагу);;;;
;;603873;PD Fel c/d Mul Ckn&VgStew 24x82g cs;PD c/d рагу д/кош урол. кур 24/82г;91,16
